label,col,x_mean,x_std,x_min,x_max,skip_OR,skip_coef,skip_p,skip_ci_lo,skip_ci_hi,skip_converged,wr_coef,wr_p,wr_group_var,wr_singular,wr_converged,skip_aic,skip_bic,skip_cv_auc,skip_cv_auc_std,wr_ci_lo,wr_ci_hi
(a) category-only [baseline],consec_count,2.682388163792816,45.89636813783743,1.0,2224.0,1.0365585668171038,0.035906155703658,0.1220538551122178,0.9904377989121288,1.0848269963263515,True,0.0618826978799682,0.0,0.0465294159354234,False,True,1255678.7011853207,1255752.9101547808,0.7639013542761013,0.0131264416105127,0.060433863635317206,0.06333153212462017
(b) time-gated T=20s,cc_timegated_T20,1.1259087357165791,0.6054008271070787,1.0,68.0,1.1851416066254274,0.1698622667095906,6.770573187311916e-25,1.147460903816256,1.224059680886185,True,-0.0210333396583275,3.0019248698261333e-97,0.0471506713405666,False,True,1249163.3102518856,1249237.5192213457,0.7689419344616866,0.0096337898311944,-0.02300320597022056,-0.019063473346435055
(c) temporal burst T=20s,cc_burst_T20,1.3396810088764648,1.101549603420822,1.0,68.0,1.1721308056435928,0.1588232938379252,1.1149172123783636e-27,1.1391389649031234,1.206078158915,True,-0.0586335220283603,0.0,0.0466598180840559,False,True,1248347.530601106,1248421.739570566,0.7714139122892749,0.0098359278098256,-0.060108703199074,-0.0571583408576466
(d) Jaccard overlap theta=0.5,cc_jac_th050,2.7353707503622284,45.89679996567098,1.0,2224.0,1.0375438955584388,0.0368562811997062,0.1146617670311113,0.9911063678113482,1.0861572180065804,True,0.061899210248267,0.0,0.0465264592996692,False,True,1255680.8576376322,1255755.0666070925,0.7640092792082976,0.0133523172547423,0.0604503420881941,0.06334807840834
(e) combined theta=0.5 & T=20s,cc_combo_th050_T20,1.1300863018412364,0.6103900111113035,1.0,68.0,1.1848968004428255,0.1696556825607917,6.78297067284826e-26,1.1480396216826372,1.2229372585955578,True,-0.023932699124618,2.06921542549095e-129,0.0471413278356111,False,True,1249092.634161578,1249166.843131038,0.7691546121346182,0.0105960179995654,-0.0258707749626964,-0.0219946232865395
(f-1) session cumulative,cumexp_session,7.489737342722691,51.860454290485855,1.0,2388.0,1.0080721129240524,0.0080397076895284,0.6998734356498137,0.9676964783245372,1.0501323582520636,False,0.0677839500771798,0.0,0.0465437242152065,False,True,1255627.9570637273,1255702.1660331874,0.7651657636344243,0.0112717038440162,,
(f-2) rolling cumulative W=30m,cumexp_W30m,2.5062692262986417,4.740391801296791,1.0,116.0,1.061914600463145,0.0600735057098667,0.0172626174391641,1.0106809027156431,1.1157454500691906,True,0.0516796756825368,0.0,0.0470275434230803,False,True,1255554.7603489307,1255628.9693183908,0.764981634899602,0.0119197561925721,0.050168176317370444,0.05319117504770368
(f-2) rolling cumulative W=60m,cumexp_W60m,3.469343224459592,8.761030176809362,1.0,230.0,1.0305473599625914,0.0300900785287109,0.203221661925648,0.9838727119390888,1.0794362403168434,False,0.0607380491659204,0.0,0.0469364622126043,False,True,1255717.5965763014,1255791.8055457617,0.7647002703418643,0.0120238598827389,,
(f-2) rolling cumulative W=180m,cumexp_W180m,6.018306486045433,23.19783847903305,1.0,690.0,1.0070922056830212,0.007067174274543,0.77028080341939,0.960436015743243,1.056014866292386,False,0.0721900515212149,0.0,0.0466830265314121,False,True,1255663.302283517,1255737.5112529774,0.765047812823501,0.0114251343313045,,
(g) sliding density N=20,density_N20,0.1035097017884254,0.1133737489581108,0.0,1.0,1.0436182521925168,0.0426937637715311,0.0054822217603587,1.0126430503177586,1.0755409381100292,True,0.0406350225859778,0.0,0.0465596635119322,False,True,1255619.8536804465,1255694.0626499064,0.7655286028397998,0.0111402313254611,,
(g) sliding density N=50,density_N50,0.0968583449721336,0.0937739908695221,0.0,1.0,1.0208736239213023,0.0206587547549532,0.2305625737084354,0.9869717045488166,1.0559400550339335,True,0.047905893060181,0.0,0.0464014289898684,False,True,1255710.5966580766,1255784.8056275367,0.7651252243112121,0.0113609964135853,,
(g) sliding density N=100,density_N100,0.0936790779232978,0.0850697830319404,0.0,1.0,1.0123078524652367,0.0122327266459621,0.502442379886854,0.9767572452774718,1.0491523795881028,True,0.0518233119241473,0.0,0.0463224791495644,False,True,1255644.7026332717,1255718.9116027318,0.7649681366359642,0.0113138982627264,,
(h) time-decay gauge tau=1800s,gauge_hl1800,3.228018522262573,7.868463516235352,0.0,115.92919921875,1.0865955322798493,0.0830494434756725,8.769084895677357e-05,1.0424256189496923,1.1326370239827244,True,0.009991576641302,7.560411792525708e-36,0.0472224794084346,False,True,1254923.6880501315,1254997.8970195916,0.7654527359901512,0.0102394437060663,0.008424799828631117,0.011558353453973083
(h) time-decay gauge tau=7200s,gauge_hl7200,8.258642196655273,22.49904441833496,0.0,457.9699096679688,1.1242242005757297,0.1170931982850468,0.0001288280179105,1.0588161067143993,1.1936728626862982,True,0.0381328560986284,0.0,0.0470317140303554,False,True,1255134.3616758347,1255208.5706452949,0.765163697030226,0.0111059813164358,,
