boundary,threshold_seconds,n_sessions,exit_rate,family,exposure,x_mean,x_std,OR,p,ci_lo,ci_hi,converged
15m,900.0,207131,0.11896509436026287,(a),a_streak,2.6740226869961434,45.90959571087281,1.0333714553293116,2.45257314293672e-72,1.0296817569903227,1.0370743751066143,True
15m,900.0,207131,0.11896509436026287,(b),b_time20,1.125952440446923,0.6055354991505933,1.0490352060694232,3.338762848014157e-05,1.0255788224389062,1.0730280691211063,True
15m,900.0,207131,0.11896509436026287,(c),c_burst20,1.3397936729281794,1.1018072094915932,0.9630340118803665,3.7732829281376654e-18,0.9548830277460433,0.971254573691146,True
15m,900.0,207131,0.11896509436026287,(d),d_jac050,2.7226606266272237,45.90995685055275,1.0332115358797294,1.0455817998678759e-77,1.0296719399163348,1.0367632995434355,True
15m,900.0,207131,0.11896509436026287,(e),e_combo050_T20,1.1301272300377578,0.610520166914719,1.04822388342791,2.4259954965621184e-05,1.0255522395152257,1.071396724079189,True
15m,900.0,207131,0.11896509436026287,(f-1),f1_session_cum,6.284737231799564,51.41412995711385,1.0450914898494892,2.0412815614329232e-13,1.0328656928197781,1.0574620008667506,True
15m,900.0,207131,0.11896509436026287,(f-2),cumexp_W30m,2.5070086489710706,4.741628698311721,0.8239808131869054,6.675796206457911e-148,0.8119965102491963,0.8361419931371262,True
15m,900.0,207131,0.11896509436026287,(g),density_N20,0.10351556539535522,0.11333482712507248,1.0065555762042042,0.00362100655155591,1.0021346299750937,1.0109960255669022,True
15m,900.0,207131,0.11896509436026287,(h),gauge_hl1800,3.2296712398529053,7.870255947113037,0.6811152582713886,1.9580861127538872e-231,0.6655135879945903,0.6970826793304654,True
30m,1800.0,120603,0.06906798153442949,(a),a_streak,2.68327619938118,45.909563088942875,1.0195885692799265,1.4208176042825089e-56,1.0171455624715682,1.022037443765917,True
30m,1800.0,120603,0.06906798153442949,(b),b_time20,1.125952440446923,0.6055354991505933,1.0415665804048306,2.118464700304291e-05,1.0221961136958886,1.061304114622145,True
30m,1800.0,120603,0.06906798153442949,(c),c_burst20,1.3397936729281794,1.1018072094915932,0.9902909120593004,0.0005905576672005221,0.9847947958289285,0.9958177019830609,True
30m,1800.0,120603,0.06906798153442949,(d),d_jac050,2.736270866751034,45.90999505765755,1.0195150196887237,2.008810842374741e-59,1.017142148727092,1.0218934262744641,True
30m,1800.0,120603,0.06906798153442949,(e),e_combo050_T20,1.1301272300377578,0.610520166914719,1.0412933589189708,1.68376181301642e-05,1.0222781339925398,1.0606622828701384,True
30m,1800.0,120603,0.06906798153442949,(f-1),f1_session_cum,7.497321594100598,51.87530168731245,1.0306606394929418,5.082790179990206e-08,1.0195242209728552,1.0419187028105756,True
30m,1800.0,120603,0.06906798153442949,(f-2),cumexp_W30m,2.5070086489710706,4.741628698311721,0.8060976229014795,1.9730218826436878e-175,0.7941274874767493,0.818248187973018,True
30m,1800.0,120603,0.06906798153442949,(g),density_N20,0.10351556539535522,0.11333482712507248,1.0068467160768753,0.006364348974796536,1.0019235988527047,1.011794023851334,True
30m,1800.0,120603,0.06906798153442949,(h),gauge_hl1800,3.2296712398529053,7.870255947113037,0.77661738698448,2.8484753995292834e-152,0.7621146294001496,0.7913961266447818,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(a),a_streak,2.6848624006393167,45.90960556372382,1.0165092103226725,2.336051884931934e-47,1.0142548190899268,1.0187686124064732,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(b),b_time20,1.125952440446923,0.6055354991505933,1.0403626575202594,1.8284616084725014e-05,1.0217018731373264,1.059364270165273,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(c),c_burst20,1.3397936729281794,1.1018072094915932,0.9937561460022392,0.023117958221567012,0.9883999291253698,0.9991413886392151,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(d),d_jac050,2.738462185077157,45.91008823089544,1.016460941135804,5.81966187810667e-49,1.0142516693176211,1.0186750252526644,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(e),e_combo050_T20,1.1301272300377578,0.610520166914719,1.0401554527569359,1.4702974668829914e-05,1.0217962185777334,1.0588445584638642,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(f-1),f1_session_cum,7.747988028930468,52.365358184424885,1.0269974337783383,4.772674044224011e-07,1.016403113877434,1.0377021819262937,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(f-2),cumexp_W30m,2.5070086489710706,4.741628698311721,0.794805454312045,1.017546820851706e-192,0.782815653407928,0.8069788940142549,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(g),density_N20,0.10351556539535522,0.11333482712507248,1.006991624149129,0.005919057064759154,1.0020076450954314,1.0120003934799564,True
data-derived 35.50m,2129.969141559629,106820,0.061110490576640294,(h),gauge_hl1800,3.2296712398529053,7.870255947113037,0.7801138160769342,1.1043666839683082e-148,0.7656298210086793,0.794871815771682,True
60m,3600.0,75402,0.042959857305219666,(a),a_streak,2.68856219348316,45.90960607897565,1.0100733777120436,2.1996964602247434e-20,1.0079310148719773,1.0122202941559486,True
60m,3600.0,75402,0.042959857305219666,(b),b_time20,1.125952440446923,0.6055354991505933,1.0381089779902153,7.96325546788367e-06,1.021209349684798,1.055288272200522,True
60m,3600.0,75402,0.042959857305219666,(c),c_burst20,1.3397936729281794,1.1018072094915932,0.9972473908342785,0.3120301167711893,0.9919324894802767,1.002590770110621,True
60m,3600.0,75402,0.042959857305219666,(d),d_jac050,2.7435409078713584,45.91009315012526,1.010072420806985,2.3743715708666606e-20,1.007928371194578,1.0122210312085034,True
60m,3600.0,75402,0.042959857305219666,(e),e_combo050_T20,1.1301272300377578,0.610520166914719,1.038027622364305,6.543188326580378e-06,1.0213197651741963,1.0550088048159074,True
60m,3600.0,75402,0.042959857305219666,(f-1),f1_session_cum,8.338171199191182,52.50022290175536,1.018552546936027,7.609738046866922e-05,1.009319088518495,1.0278704749284615,True
60m,3600.0,75402,0.042959857305219666,(f-2),cumexp_W30m,2.5070086489710706,4.741628698311721,0.7613226550736542,1.7364774169839166e-217,0.7485049714803338,0.7743598335520565,True
60m,3600.0,75402,0.042959857305219666,(g),density_N20,0.10351556539535522,0.11333482712507248,1.0065167880501305,0.01630264236358981,1.001196249446882,1.0118656009612823,True
60m,3600.0,75402,0.042959857305219666,(h),gauge_hl1800,3.2296712398529053,7.870255947113037,0.7510283837881505,6.739229409321218e-174,0.7361859592007136,0.7661700501159121,True
user-adaptive,,85537,0.04881354448905895,(a),a_streak,2.6870439311536836,45.90955238122403,0.9949055746940988,0.3198806391305361,0.9849433401800268,1.0049685724830362,True
user-adaptive,,85537,0.04881354448905895,(b),b_time20,1.125952440446923,0.6055354991505933,1.0458688168372705,4.41103302748848e-05,1.0236034332322985,1.0686185162338684,True
user-adaptive,,85537,0.04881354448905895,(c),c_burst20,1.3397936729281794,1.1018072094915932,0.96781187206763,2.053760565570445e-05,0.9533491344422906,0.982494015965092,True
user-adaptive,,85537,0.04881354448905895,(d),d_jac050,2.7412044996297906,45.909951017294965,0.995145007504239,0.35257252347049295,0.9849859856070629,1.005408808278897,True
user-adaptive,,85537,0.04881354448905895,(e),e_combo050_T20,1.1301272300377578,0.610520166914719,1.045701363151849,3.8397374841607276e-05,1.0236892756177878,1.0681867700897056,True
