label,exposure,x_mean,x_std,exit_OR,exit_p,exit_ci_lo,exit_ci_hi,exit_converged,skip_adjusted_OR,skip_adjusted_p,skip_adjusted_ci_lo,skip_adjusted_ci_hi,skip_adjusted_converged,controls_aic,exposure_aic,delta_aic,controls_cv_auc,exposure_cv_auc,exposure_cv_auc_sd,delta_cv_auc
(a) category-only streak,a_streak,2.6848624006393167,45.90960556372382,1.0165092103226725,2.336051884931934e-47,1.0142548190899268,1.0187686124064732,True,1.0164912440795093,2.188868278014536e-47,1.0142400203298791,1.0187474646822208,True,704322.9198323139,704324.8978419084,1.9780095944879577,0.7673438330753146,0.7661497298698282,0.005108053137031,-0.0011941032054865
(b) time-gated T=20s,b_time20,1.125952440446923,0.6055354991505933,1.0403626575202594,1.828461608472501e-05,1.0217018731373264,1.059364270165273,True,1.041107443569548,1.570882785975627e-05,1.0222453802479226,1.0603175421473097,True,704322.9198323139,703833.2890573975,-489.6307749163825,0.7673438330753146,0.7682820338503749,0.0038126010472261,0.0009382007750601
(c) burst T=20s,c_burst20,1.3397936729281794,1.1018072094915932,0.9937561460022392,0.023117958221567,0.9883999291253698,0.9991413886392152,True,0.994727040433029,0.0532933706245519,0.9894076415086024,1.0000750382925456,True,704322.9198323139,704311.4133464327,-11.506485881167464,0.7673438330753146,0.7673026645332158,0.0036187931505592,-4.116854209881282e-05
(d) Jaccard >= 0.5,d_jac050,2.738462185077157,45.91008823089544,1.016460941135804,5.8196618781066695e-49,1.0142516693176211,1.0186750252526644,True,1.016439536848868,4.096137954594628e-49,1.0142367115596975,1.0186471464642213,True,704322.9198323139,704324.8763523912,1.9565200773067768,0.7673438330753146,0.7661276563397336,0.0051420895314618,-0.0012161767355811
(e) Jaccard >= 0.5 & T=20s,e_combo050_T20,1.1301272300377578,0.610520166914719,1.040155452756936,1.4702974668829914e-05,1.0217962185777334,1.0588445584638642,True,1.0408982514120388,1.2540882004935572e-05,1.0223437706053882,1.0597894768322949,True,704322.9198323139,703846.8403227701,-476.07950954383705,0.7673438330753146,0.768258373902152,0.0038090744315089,0.0009145408268373
(f-1) inferred-session cumulative,f1_session_cum,7.747988028930468,52.365358184424885,1.0269974337783383,4.772674044224011e-07,1.016403113877434,1.0377021819262937,True,1.0269096703598664,4.4714951049563794e-07,1.016376020071493,1.0375524906662317,True,704322.9198323139,704323.8295121071,0.9096797931706532,0.7673438330753146,0.7661988992471062,0.005037121018161,-0.0011449338282084
(f-2) rolling cumulative W=30m,cumexp_W30m,2.5070086489710706,4.741628698311721,0.794805454312045,1.017546820851706e-192,0.782815653407928,0.8069788940142549,True,0.7944369583449475,2.6110003575048648e-193,0.7824471224131961,0.8066105206417817,True,704322.9198323139,703142.8049937146,-1180.1148385993438,0.7673438330753146,0.7688751341853013,0.0036252197394479,0.0015313011099864
(f-2) rolling cumulative W=60m,cumexp_W60m,3.470540989628374,8.763370713968136,0.7857794583938601,1.039818833602676e-164,0.7723213760035267,0.799472054533589,True,0.7852171708402658,1.451062506778459e-165,0.7717641472641303,0.7989047010904693,True,704322.9198323139,703364.3606761756,-958.5591561383336,0.7673438330753146,0.7685603313397328,0.0036724878898906,0.001216498264418
(f-2) rolling cumulative W=180m,cumexp_W180m,6.020646525269251,23.204249356371985,0.97336564602527,0.2351273652845155,0.930939840122336,1.017724927034691,True,0.9731715956115996,0.2343784474397974,0.9305147385213064,1.0177839375335604,True,704322.9198323139,703621.3378020581,-701.5820302558132,0.7673438330753146,0.7682192938534202,0.0036146067745089,0.0008754607781054
(g) sliding density N=20,density_N20,0.1035155653953552,0.1133348271250724,1.006991624149129,0.0059190570647591,1.0020076450954314,1.0120003934799564,True,1.0065575382836778,0.0100514547319077,1.0015605362290243,1.0115794714619435,True,704322.9198323139,704206.0695154582,-116.8503168557072,0.7673438330753146,0.7675056326842553,0.0036662941971359,0.0001617996089405
(g) sliding density N=50,density_N50,0.0968620032072067,0.0937811061739921,1.0057694005051174,0.0295214799825106,1.0005723871666212,1.010993407340523,True,1.005210668660839,0.050176837299089,0.9999959913014176,1.010452538989232,True,704322.9198323139,704205.166608242,-117.75322407193016,0.7673438330753146,0.767484170570558,0.0036426415753481,0.0001403374952431
(g) sliding density N=100,density_N100,0.0936819165945053,0.0850738361477851,1.0050281899305915,0.0634637456535007,0.9997188868486812,1.01036568963816,True,1.0044155055280195,0.1045979376786047,0.9990855671447312,1.009773878155685,True,704322.9198323139,704201.7648438114,-121.15498850250152,0.7673438330753146,0.7674824694969565,0.0036543717030836,0.0001386364216418
(h) time-decay gauge tau=1800s,gauge_hl1800,3.2296712398529053,7.870255947113037,0.7801138160769342,1.1043666839683082e-148,0.7656298210086793,0.794871815771682,True,0.7805499720401009,3.5543126872341064e-148,0.7660653394748272,0.7953084775633849,True,704322.9198323139,702581.3438994348,-1741.575932879117,0.7673438330753146,0.7699752161023549,0.0035554365559091,0.00263138302704
(h) time-decay gauge tau=7200s,gauge_hl7200,8.262880325317383,22.50469207763672,0.8512662282666205,3.038107565378521e-48,0.8330549495467237,0.8698756207877668,True,0.8516569316486841,1.120278992505082e-47,0.8333780528895953,0.8703367297834762,True,704322.9198323139,702920.352067857,-1402.5677644568495,0.7673438330753146,0.7695908574943083,0.0035127428969116,0.0022470244189935
(h) time-decay gauge tau=86400s,gauge_hl86400,31.79254531860352,74.94685363769531,0.322022774585764,1.1557557065206791e-19,0.2521051764432696,0.4113309723144411,True,0.3179787561638383,4.826616886855916e-17,0.2433136355363627,0.4155561982731172,True,704322.9198323139,699416.2518230113,-4906.668009302579,0.7673438330753146,0.7743885772446851,0.0031715740314861,0.0070447441693704
(i) event-decay T=20s penalty=0.2,ed_T20_p02,95.50841522216797,144.6318359375,1.056083444846639,5.672243015429496e-29,1.0460206248594177,1.066243070139309,True,1.0561632400907968,5.102333915727222e-29,1.046094225371173,1.0663291725210482,True,704322.9198321651,702444.5928521483,-1878.3269800167764,0.7673514545885373,0.7693361860465225,0.004651556127248226,0.0019847314579852114
(i) event-decay T=20s penalty=0.5,ed_T20_p05,75.85730743408203,126.1136474609375,1.048629482039562,5.9299535506678715e-24,1.0390046113097853,1.0583435132365369,True,1.04867994529283,5.5410336544359486e-24,1.039051221025525,1.0583978974337371,True,704322.9198321651,702838.7850440275,-1484.1347881376278,0.7673514545885373,0.768980252496086,0.004620434431650211,0.0016287979075487956
(i) event-decay T=20s penalty=1.0,ed_T20_p10,52.34794235229492,103.13469696044922,1.035869519754799,1.558825315567128e-16,1.0272351055139635,1.0445765104767946,True,1.0358654171724435,1.580022996129364e-16,1.0272303216275838,1.0445731009903505,True,704322.9198321651,703426.0919916836,-896.8278404815355,0.7673514545885373,0.7683790860783257,0.004574537272775808,0.0010276314897884387
(i) event-decay T=60s penalty=0.2,ed_T60_p02,91.43053436279297,154.8408660888672,1.052695855604728,1.2191826444302524e-23,1.042176437680553,1.063321453393907,True,1.052756650909381,1.2778008568493186e-23,1.0422199993924943,1.0633998260251754,True,704322.9198321651,702744.6662398278,-1578.2535923373653,0.7673514545885373,0.7690650036352779,0.004692165705135013,0.0017135490467406812
(i) event-decay T=60s penalty=0.5,ed_T60_p05,53.85033416748047,124.98027038574219,1.0344648706548556,5.03073931240532e-20,1.026994633441226,1.0419894454883816,True,1.034476438600639,4.585234999527818e-20,1.027011776025338,1.041995356821945,True,704322.9198321651,703614.061093452,-708.8587387130829,0.7673514545885373,0.7682096468102393,0.004630743465102116,0.0008581922217021143
(i) event-decay T=60s penalty=1.0,ed_T60_p10,27.284452438354492,99.50811767578125,1.0300914694990166,7.593597240558907e-17,1.0229371254918482,1.0372958504409069,True,1.0300829703627852,6.816639166388847e-17,1.0229415594130966,1.037274237288979,True,704322.9198321651,704236.1763778712,-86.74345429392997,0.7673514545885373,0.7674391175941835,0.00471621579191738,8.766300564635454e-05
